Movie Stars,Count
"Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson",1
"James Franco, Amber Tamblyn, Kate Mara, Sean Bott",1
"Paul Walker, Jason Biggs, Bruce Greenwood, Moon Bloodgood",1
"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan",1
"Tom Hanks, Helen Hunt, Paul Sanchez, Lari White",1
"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood",1
"Jean-Marc Barr, Jean Reno, Rosanna Arquette, Paul Shenar",1
"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco",1
"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",1
"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",1
"Tilda Swinton, Georgie Henley, William Moseley, Skandar Keynes",1
"Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin",1
"Orlando Bloom, Eva Green, Liam Neeson, Martin Hancock",1
"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",1
